Metric,Value
Initial Value,100000.0
Final Value,151907.57281071472
Total Return (%),51.90757281071472
Sharpe Ratio,1.3102025347167097
Max Drawdown (%),-12.551116224544351
Volatility (%),17.178258892249094
Win Rate (%),52.8942115768463
