Date,Close,High,Low,Open,Volume
2015-01-02,56.50349426269531,57.29145160950892,55.79968826714803,57.10019959963967,811100
2015-01-05,56.15926742553711,56.778922339552295,56.05981260172185,56.14396398961906,1288400
2015-01-06,55.89149475097656,56.88600770158682,55.386592396325334,56.541756361440484,1358800
2015-01-07,57.68162536621094,57.78872605827694,56.56471397998692,56.610612609000924,1507700
2015-01-08,59.46408462524414,59.70888699384435,58.92857543130384,58.93622714685196,1810700
2015-01-09,59.349334716796875,60.29029148930271,59.24987992016437,59.685934339836386,1192800
2015-01-12,58.87504196166992,59.57120236225875,58.43898743529083,59.2116475036294,796800
2015-01-13,58.27068328857422,59.95370512208594,57.635724971796385,59.402898188811214,1234900
2015-01-14,57.36030578613281,57.67395604959936,56.91659971923068,57.199648960509336,1661500
2015-01-15,57.03900146484375,57.64335855783561,56.633548109981135,56.901299774838655,1679500
2015-01-16,57.41387176513672,57.49802313995353,56.49585835892144,56.76361008036139,1365500
2015-01-20,57.55156707763672,58.11767148802706,56.91660889708385,57.85756567576178,1060900
2015-01-21,58.64554977416992,58.767948089484456,57.161431533829486,57.36798124441391,902800
2015-01-22,59.73948669433594,59.84659321045153,58.33952614384807,58.81382748577046,1067900
2015-01-23,59.73948669433594,60.06079456958413,59.46408911584352,59.7471384104619,998900
2015-01-26,59.80832290649414,60.16022586982798,59.272819665887766,59.38756619134086,1012900
2015-01-27,59.32639694213867,59.555895933854636,58.47723724872406,59.11218971203344,1263700
2015-01-28,59.0662727355957,60.37443584268986,58.98212138047136,59.532928127994886,1031000
2015-01-29,59.69358825683594,59.731841001035754,58.13297084558247,59.08923108508465,1353900
2015-01-30,58.087066650390625,59.28812916254408,57.99526357504591,59.0739278232885,1242800
2015-02-02,58.31659698486328,58.53844430023776,57.47508301667879,58.438995302430186,1161700
2015-02-03,59.54823303222656,59.578834059351294,58.48487214497602,58.706725214218466,1553300
2015-02-04,59.41819763183594,60.137307354439436,59.23459726056184,59.27285001299629,949900
2015-02-05,59.831298828125,59.86955157799153,59.11218915379552,59.563547088709825,1509600
2015-02-06,59.02802658081055,59.93073051711663,58.95152110314865,59.82362985224816,925500
2015-02-09,58.40072250366211,58.875029683274505,58.148274236391146,58.875029683274505,1998300
2015-02-10,56.00625991821289,59.94605403984322,54.965848108012054,59.02039464804918,7330700
2015-02-11,55.84560775756836,56.495863666887516,55.577856010972276,55.78440569076059,2523700
2015-02-12,56.44230651855469,56.465255831705555,55.66964656869424,55.84560103043361,1443700
2015-02-13,55.7078971862793,56.43465264551773,55.2641910271519,56.29695093532473,1794600
2015-02-17,58.06410217285156,58.17885452791899,55.692578793162575,55.82262873851696,2289200
2015-02-18,58.33952331542969,58.48487089548046,57.3679596937611,57.872867875708366,1305200
2015-02-19,57.74280548095703,58.48485832634236,57.69690103284154,58.19415739216711,1421400
2015-02-20,58.62257385253906,58.79852829938031,57.084911636129,57.406213666135656,1393700
2015-02-23,58.75262451171875,58.997426870661386,58.5384173406639,58.72966936597998,703000
2015-02-24,58.5766716003418,58.95917566089948,58.293616494371555,58.79852465585111,995500
2015-02-25,58.20748519897461,58.622814152082995,58.022896509138214,58.40745970261242,858900
2015-02-26,59.407318115234375,59.52268824226851,58.09980565676339,58.10749856335724,1256500
2015-02-27,58.36901092529297,59.60730508751636,58.23826082567177,59.307346215223205,1994600
2015-03-02,58.3844108581543,58.60745243827394,58.153670499999485,58.369025038026074,762400
2015-03-03,57.47682571411133,58.36900939946407,57.41529418602645,58.30747787137919,1296100
2015-03-04,57.146095275878906,57.661408568269245,57.130709461437135,57.130709461437135,1400400
2015-03-05,57.253787994384766,57.71526279701287,57.06150633762552,57.19225645590889,1354200
2015-03-06,57.0922737121582,57.31531527645629,56.43851136641817,56.915372001058635,1403000
2015-03-09,57.53835678100586,57.73063842336234,57.038429205255014,57.15379349629288,981100
2015-03-10,56.469268798828125,57.15379094563074,56.430815992854924,56.91536359749965,1032600
2015-03-11,56.66925048828125,56.78462065669124,56.315452941669,56.53850036913617,1406000
2015-03-12,58.199790954589844,58.230556713517,56.60000669818916,56.70768978841845,1268600
2015-03-13,57.730628967285156,58.22286942165289,57.299920036705664,58.16903080533045,2165500
2015-03-16,57.94599533081055,58.361324399708366,57.67680219392408,57.88446966235813,1570800
2015-03-17,56.76923751831055,57.722958812090006,56.62310744153094,57.56912995762358,1424100
2015-03-18,57.023040771484375,57.70756291742878,55.60015785692476,56.73846184138454,1866100
2015-03-19,56.2616081237793,57.02304176278031,55.96933628022566,56.93843737311688,1158700
2015-03-20,57.353763580322266,57.70756107054595,56.28467820152453,56.492339777188796,1379800
2015-03-23,56.71540069580078,57.58451761434644,56.692327833887354,57.5691317944235,1194300
2015-03-24,56.177001953125,56.89998276261176,56.14623618804368,56.76922679402373,1264100
2015-03-25,55.37712097167969,56.27699777915647,55.2848236575907,56.27699777915647,2659500
2015-03-26,55.52325439453125,55.68477028586617,54.984862222110884,55.407884224157556,1204100
2015-03-27,56.3462028503418,56.57693725424234,55.32326330927302,55.41556059161455,2263900
2015-03-30,57.47682571411133,57.68448728643592,56.19238000420987,56.55387039674666,1185400
2015-03-31,57.26146697998047,57.71525467743657,56.68462209085521,57.223014174820584,1723100
2015-04-01,57.30763244628906,57.338398218652955,56.48466710646107,56.930756135809744,1562600
2015-04-02,57.99214553833008,58.06136411418221,57.15379451142112,57.3614619749178,1199600
2015-04-06,58.576690673828125,58.9920139165643,57.59220359587205,57.638355186820085,1808600
2015-04-07,60.17646408081055,60.26876138610785,58.568992289015675,58.568992289015675,2918500
2015-04-08,60.50717544555664,60.61485267739714,59.45347598140765,60.11492518726728,2750600
2015-04-09,59.93035888671875,60.899460298382024,59.69193145631444,60.49951694402914,2606600
2015-04-10,59.91496658325195,60.16108687396432,59.507330401881816,59.99957098330657,2123100
2015-04-13,58.93815231323242,60.01493041747969,58.93815231323242,59.98416465816193,1968000
2015-04-14,59.19198989868164,59.26890139478967,58.72282214406034,58.98432827239286,1692400
2015-04-15,59.130435943603516,59.591916481288166,59.01507167715114,59.430394772317264,1004500
2015-04-16,59.15352249145508,59.43809554364779,58.99200076111326,59.02276652556077,1584700
2015-04-17,59.199676513671875,59.422723936247074,58.745888759337404,58.784347437287416,1820400
2015-04-20,58.438236236572266,59.67652454933271,58.269027461371415,59.43040429485049,1968800
2015-04-21,58.399776458740234,58.89201695839754,58.23056768673874,58.453615080016206,1117400
2015-04-22,58.092132568359375,58.6151389037656,57.81524651620488,58.39978438941664,1068400
2015-04-23,57.77678680419922,58.21518868974516,57.70756236544475,58.0229070580501,872200
2015-04-24,57.78447723388672,58.076749086707075,57.3306953730952,58.05367622842548,966800
2015-04-27,57.37684631347656,58.00752992513036,57.346080543643374,57.99984288365001,1188000
2015-04-28,57.45376205444336,57.89985694807028,56.87691703033059,57.09996447714405,1223800
2015-04-29,56.969207763671875,57.446068374305135,56.63848308667808,57.03843220991122,1288600
2015-04-30,56.53851318359375,57.28456712470493,56.40007012371774,56.95384236322178,991000
2015-05-01,56.94612503051758,57.02303650458222,56.27698288341958,56.60001459527268,1053600
2015-05-04,56.646148681640625,57.11531615691521,56.507705723888,56.99225314203843,906900
2015-05-05,56.0847053527832,56.669243160631424,55.938575301798465,56.530800150035,1753900
