Date,Close,High,Low,Open,Volume
2015-01-02,114.13603210449219,115.3772489845796,113.49123884408988,114.34558468729931,1471000
2015-01-05,112.83839416503906,114.57933234091782,112.6771989187708,114.20051674806247,1748500
2015-01-06,114.32943725585938,115.20796148962671,112.71746076891546,113.3300074065285,3185200
2015-01-07,116.32027435302734,116.40892128775083,114.74053137131709,114.93397305226407,2171600
2015-01-08,117.31965637207031,117.75489694634082,116.81994755563179,117.31965637207031,2937700
2015-01-09,115.51431274414062,116.90866982831868,115.43370895034028,116.44925034079867,1727000
2015-01-12,114.86949920654297,116.19132002425644,114.5470963861189,115.72384515844911,1344800
2015-01-13,113.71692657470703,116.39281458175975,113.15273702454827,114.61157439653371,2198500
2015-01-14,112.2822494506836,113.00764643762854,111.41984820090755,112.8464389082578,2207900
2015-01-15,112.2822494506836,112.97540001239128,111.7261154502148,112.79808156880969,1819600
2015-01-16,112.6126937866211,112.80613541897621,111.40371125581575,112.06461531081807,1784800
2015-01-20,112.33866882324219,113.86198643030039,111.51655719927847,113.41869034392744,1836100
2015-01-21,112.14518737792969,112.59653876081859,111.53264082949514,111.91145623264893,1682000
2015-01-22,113.86197662353516,113.87003207953644,111.54072626093155,112.43537381331785,1897500
2015-01-23,114.49068450927734,114.70023712044802,113.53961155431156,114.1199243373798,1696800
2015-01-26,115.1838150024414,115.29665289611222,114.10379340610535,114.17632941666344,1482800
2015-01-27,113.63630676269531,115.09514377095446,113.5395797936348,115.05484189204648,1786500
2015-01-28,112.53211212158203,114.81306108658687,112.48375477860242,114.12797823036126,2016300
2015-01-29,113.35420227050781,113.39450414812225,111.95984585357361,112.96733130190307,1873400
2015-01-30,115.24832153320312,115.90117037219687,113.91843288116881,115.3289130191862,5169000
2015-02-02,117.6742935180664,117.85966738621937,112.94314606348053,116.06231689453125,4797500
2015-02-03,123.92070770263672,124.03354557868985,116.68293582801365,117.96445434141857,10302900
2015-02-04,125.66972351074219,126.41929919938228,122.5666752125282,122.5747306699772,11006300
2015-02-05,124.14591217041016,125.81962940130616,122.83859375971448,124.48731856839825,6986700
2015-02-06,123.8211441040039,124.8620078115121,123.3714965729369,124.24582462841497,2927400
2015-02-09,122.85523986816406,124.20420809634834,122.25571396279737,123.82116459801011,2740200
2015-02-10,123.4215087890625,123.63800395871763,122.40562435954162,123.22999334260368,1703400
2015-02-11,123.08341979980469,123.93479461497454,122.32384867771661,123.85967555534687,2295800
2015-02-12,123.33381652832031,123.85967541785315,122.58260046015461,123.54248907351761,1712200
2015-02-13,122.7829360961914,124.20190691875449,122.6493826046565,123.72612738129709,1926800
2015-02-17,123.14183044433594,123.20860718124699,121.58096402016598,122.69944570661546,1541500
2015-02-18,122.89144134521484,123.10011390670265,122.30716072032148,122.8330196509067,1541000
2015-02-19,122.42398071289062,123.1251172558281,122.24870294533557,122.61595584661808,1273700
2015-02-20,123.15017700195312,123.35884953585231,121.78128568902879,122.42400065961932,1595600
2015-02-23,123.85965728759766,123.91809170515289,122.72447829843446,123.53412867419436,1587300
2015-02-24,123.70941162109375,124.70268203152173,123.53412111551307,124.68599740154929,1844200
2015-02-25,123.10014343261719,124.03500539303823,122.85808880723332,123.28377634968032,1602700
2015-02-26,122.40728759765625,123.20859562909722,122.03167963206417,122.75786861765854,1892600
2015-02-27,122.66603088378906,123.16683717207752,121.722827239795,123.16683717207752,3036200
2015-03-02,123.48402404785156,123.94310603344604,122.96652039301246,122.96652039301246,2108600
2015-03-03,123.00826263427734,123.65097750782452,122.41563985984558,123.48404205318285,1514300
2015-03-04,122.8412857055664,123.51738234723248,121.68106749343902,123.40052629480076,2208600
2015-03-05,126.18009948730469,126.66422126829134,124.3688235187836,125.84622854555667,4471100
2015-03-06,124.81951141357422,125.32867271867323,123.67599042357975,124.61083895634276,3014900
2015-03-09,125.77113342285156,126.029898124956,124.82794200609003,125.02825953499186,1727900
2015-03-10,123.66771697998047,125.32874251328741,123.6593619257705,124.99487149032927,2128100
2015-03-11,123.03334045410156,124.36050766034747,122.98326107582109,123.80960902653692,1734300
2015-03-12,124.73606872558594,124.90300416906351,123.03329408758411,123.8512994124327,1564000
2015-03-13,124.6025390625,125.1283979093792,123.65933515907803,124.44394590319608,1470100
2015-03-16,125.19515991210938,126.03819224201645,124.60252439756954,124.96979004191998,2532700
2015-03-17,125.22852325439453,125.3704190074185,123.8930143350348,124.69432223392204,1972500
2015-03-18,125.97979736328125,126.56409074612836,123.74283353492366,125.20354151931568,2772500
2015-03-19,126.2969741821289,126.45556736053096,125.47063902193567,126.03822225373054,1862900
2015-03-20,127.36534881591797,127.83277319561594,126.664212246371,126.9813985338914,5859300
2015-03-23,127.64912414550781,128.17498287401048,127.45714902889473,127.83275694795772,1665900
2015-03-24,127.8244400024414,128.7342491447353,127.61576747973034,127.6658468473634,1637000
2015-03-25,126.11333465576172,128.50890410300428,126.11333465576172,128.16667807677516,2266800
2015-03-26,125.25357818603516,125.84621368446803,124.51070460246518,124.63591574310462,1554800
2015-03-27,125.59580993652344,126.22182745953938,125.22020196998568,125.37879511363384,1329900
2015-03-30,127.1817398071289,127.36537266730716,125.87128283552393,125.96309926561305,1463800
2015-03-31,126.45556640625,127.70760171720296,126.2468938544245,126.73935802000584,1886100
2015-04-01,125.40386199951172,126.7643983839501,124.95312215280012,126.73101637947903,1795000
2015-04-02,126.5640869140625,126.87291823148999,125.50402672844685,125.59584316556887,1095300
2015-04-06,127.29024505615234,127.57403664414115,125.70433890081668,126.34704113190413,1767600
2015-04-07,126.68923950195312,127.66582521439534,126.639160142806,127.31525696400772,1391700
2015-04-08,126.87288665771484,127.43212745869823,126.19678976005372,127.0648618016084,1483000
2015-04-09,124.21027374267578,126.03824771759027,123.75954654026887,125.67933696668386,3401800
2015-04-10,124.90302276611328,125.2285513870884,124.05163532034767,124.7026925622979,1572900
2015-04-13,124.38551330566406,125.48729753536843,124.3103815224439,124.73608159404087,1120200
2015-04-14,124.80287170410156,125.28699350747817,123.30042692402944,124.36882927066726,1540800
2015-04-15,124.42724609375,125.7627424699697,124.41054872734409,124.85293341440948,1404700
2015-04-16,122.79121398925781,124.28530309078015,122.624278580605,124.16844703108764,2680600
2015-04-17,120.67119598388672,122.47411754946047,119.44420008976462,122.34891908531112,4369300
2015-04-20,122.12350463867188,122.90811535857478,121.6560802275876,122.40729621163591,2881900
2015-04-21,122.98324584960938,123.60092115677547,122.36558327880445,122.68275688076658,1616700
2015-04-22,122.68273162841797,123.47568457464787,122.09845118047795,123.47568457464787,1423500
2015-04-23,122.94986724853516,123.49241077622966,122.0901373737421,122.36558666416533,1351800
2015-04-24,123.63430786132812,123.86802009749853,122.59094511543827,122.97490820992486,1421100
2015-04-27,122.66603088378906,123.95979001413524,122.58255680089589,123.78451227095917,1717000
2015-04-28,122.3739242553711,122.85804607411454,121.90649980592526,122.60763648009399,1302100
2015-04-29,120.90924835205078,122.40742592870156,120.41542407295579,122.09774969006149,1719000
2015-04-30,119.72906494140625,121.27745829522627,119.30220027138473,120.39864631361063,2523200
2015-05-01,121.68763732910156,121.98058330864886,119.87140546105032,120.07228379884347,1504700
2015-05-04,121.9888916015625,122.37390504344198,121.03474229130747,121.68758062089235,1288800
2015-05-05,120.94270324707031,121.9805552635719,120.76693314551231,121.46162286971835,1769600
2015-05-06,121.16873931884766,122.06429492997606,120.53263085402038,121.65418581050663,1737300
2015-05-07,120.99296569824219,121.87179099825569,120.5326274200246,120.95949235583109,2564500
2015-05-08,122.09771728515625,123.50382685399984,122.03075786218216,122.19815003401534,1728700
2015-05-11,120.75021362304688,122.47437760652734,120.69161932690595,121.81316115308361,1905800
2015-05-12,120.58282470703125,121.36120423157857,120.03878405982067,120.52423040929182,1923900
2015-05-13,119.88812255859375,121.60390850066275,119.45289263987691,120.42378523885844,2135900
2015-05-14,119.35250091552734,120.63307015038578,118.45693257978174,120.63307015038578,3023400
2015-05-15,121.21891784667969,121.32772852823791,119.46964565735695,119.87138950826974,2357000
2015-05-18,121.41143035888672,121.60393077751985,120.56609132818642,121.14360535529384,1451700
2015-05-19,121.1435546875,121.77964997979586,120.78364942454118,121.2021361942312,1332700
2015-05-20,120.09735870361328,121.4114007485327,119.90484556072307,121.4114007485327,1640900
2015-05-21,120.47400665283203,121.01803449555237,119.56170830744293,119.99692547313671,1539400
2015-05-22,120.2563247680664,121.1602575183867,120.02197325182037,120.44045992671681,1189500
2015-05-26,119.8965072631836,120.86740002059662,119.75422323737082,120.5911971100632,2477400
2015-05-27,121.71269226074219,121.8968274636688,119.77928540121557,120.21451522369692,2954100
2015-05-28,120.7418212890625,122.17305193450014,119.82115788235978,120.79205043884349,3206200
2015-05-29,119.3441162109375,120.4824013295101,118.65780419142675,120.3401172860897,3027100
2015-06-01,119.17670440673828,119.89650241902012,118.76658262805431,119.72911020548632,2182700
2015-06-02,118.3480224609375,119.41098215436385,117.92117066493135,118.82510338400265,1963500
2015-06-03,118.95906066894531,119.27710194935646,118.1639255399087,118.57404719745372,1858200
2015-06-04,117.7203140258789,119.26872006147346,117.4524891551868,118.32293594893828,2898600
2015-06-05,116.15521240234375,117.85426804047438,116.12173907271206,117.79568652081755,3203200
2015-06-08,115.54422760009766,116.26402552883387,115.51911940954221,116.26402552883387,1879700
2015-06-09,115.53582763671875,116.13844963743817,115.34332728880108,115.43539489366663,2039100
2015-06-10,116.69923400878906,117.12609875892814,115.71997633626593,115.77020548485069,1725600
2015-06-11,116.6071548461914,117.5696692684557,116.49834420375726,116.87497972676493,1342300
2015-06-12,116.15521240234375,116.59044231478872,115.92922592091196,116.38956402338208,1290700
2015-06-15,114.85791015625,115.77022129768059,114.79095072019595,115.45216716922552,1939500
